t,x,y,v_y,v_x,a_x,a_y
0.875,0.793,0.452,0.159,1.575,-4.641,9.829
0.883,0.806,0.455,0.264,1.453,-5.672,6.652
0.892,0.817,0.457,0.237,1.459,9.329,-17.38
0.900,0.830,0.459,1.552E-2,1.625,11.77,-20.62
0.908,0.844,0.457,-0.179,1.677,-14.15,-2.366
0.917,0.858,0.456,-5.112E-4,1.398,-8.476,10.19
0.925,0.867,0.457,4.039E-2,1.435,1.834,-6.526
0.933,0.882,0.456,-0.146,1.562,5.955,-15.65
0.942,0.893,0.454,-0.231,1.448,,
0.950,0.906,0.452,,,,
